Start year,End year,Fastest-warming areas in Yukon,Compared with global average,Compared with global land,Compared with southern Canada,Compared with rest of Canada,Global average rate (°C/decade),Global land rate (°C/decade),Southern Canada rate (°C/decade),Rest of Canada rate (°C/decade),Grid-cell percentile used
1940,2025,0.3806193469564593,2.7× faster,1.7× faster,1.7× faster,1.6× faster,0.14205275095479414,0.22083536736900872,0.2193122683420462,0.23266057314984395,95
1950,2025,0.4997048641614931,3.0× faster,1.9× faster,1.8× faster,1.6× faster,0.16484862200116246,0.2570259324213272,0.2799826390854742,0.3097432062878685,95
1960,2025,0.6001796590148678,3.2× faster,2.1× faster,1.8× faster,1.6× faster,0.1874950696370267,0.28972692497731384,0.32517570999821305,0.3661314736295768,95
1970,2025,0.706982443739431,3.3× faster,2.2× faster,1.9× faster,1.6× faster,0.2128004446215388,0.32800534623257993,0.375455574822453,0.430267090657782,95
1980,2025,0.7455087938884678,3.5× faster,2.2× faster,2.2× faster,1.8× faster,0.21340881085106372,0.3343533519136107,0.3429550470459552,0.4193596487741231,95
1990,2025,0.7362493773524539,3.0× faster,2.0× faster,1.7× faster,1.5× faster,0.24744032825905604,0.3762561489730121,0.42392766556022177,0.5004758137660238,95
