Start year,End year,Fastest-warming areas in Northwest Territories,Compared with global average,Compared with global land,Compared with southern Canada,Compared with rest of Canada,Global average rate (°C/decade),Global land rate (°C/decade),Southern Canada rate (°C/decade),Rest of Canada rate (°C/decade),Grid-cell percentile used
1940,2025,0.3628835923183087,2.6× faster,1.6× faster,1.7× faster,1.6× faster,0.14205275095479414,0.22083536736900722,0.2193122683420462,0.23231503990178226,95
1950,2025,0.48722028339807816,3.0× faster,1.9× faster,1.7× faster,1.6× faster,0.1648486220011619,0.2570259324213248,0.27998263908547416,0.30708930015962127,95
1960,2025,0.5695596495311227,3.0× faster,2.0× faster,1.8× faster,1.6× faster,0.1874950696370267,0.2897269249773123,0.325175709998213,0.361690648022655,95
1970,2025,0.6772588799520781,3.2× faster,2.1× faster,1.8× faster,1.6× faster,0.2128004446215391,0.3280053462325782,0.37545557482245295,0.4264541436489675,95
1980,2025,0.7608640450321417,3.6× faster,2.3× faster,2.2× faster,1.9× faster,0.213408810851062,0.33435335191360577,0.34295504704595253,0.40908670658656565,95
1990,2025,0.8034535921860524,3.2× faster,2.1× faster,1.9× faster,1.6× faster,0.24744032825905288,0.3762561489730054,0.4239276655602184,0.49446054899410474,95
