Start year,End year,Northwest Territories warming rate (°C/decade),Compared with global average,Compared with global land,Compared with southern Canada,Compared with rest of Canada,Global average rate (°C/decade),Global land rate (°C/decade),Southern Canada rate (°C/decade),Rest of Canada rate (°C/decade)
1940,2025,0.2638805455586551,1.9× faster,1.2× faster,1.2× faster,1.1× faster,0.14205275095479414,0.22083536736900872,0.2193122683420462,0.23231503990178226
1950,2025,0.3672839573063446,2.2× faster,1.4× faster,1.3× faster,1.2× faster,0.16484862200116246,0.2570259324213272,0.2799826390854742,0.30708930015962177
1960,2025,0.4360245424264594,2.3× faster,1.5× faster,1.3× faster,1.2× faster,0.1874950696370267,0.28972692497731384,0.32517570999821305,0.361690648022655
1970,2025,0.46804812118028327,2.2× faster,1.4× faster,1.2× faster,1.1× faster,0.2128004446215388,0.32800534623257993,0.375455574822453,0.4264541436489675
1980,2025,0.479537248365705,2.2× faster,1.4× faster,1.4× faster,1.2× faster,0.21340881085106372,0.3343533519136107,0.3429550470459552,0.40908670658657
1990,2025,0.5415477130413753,2.2× faster,1.4× faster,1.3× faster,1.1× faster,0.24744032825905604,0.3762561489730121,0.42392766556022177,0.49446054899410785
