Start year,End year,Yukon warming rate (°C/decade),Compared with global average,Compared with global land,Compared with southern Canada,Compared with rest of Canada,Global average rate (°C/decade),Global land rate (°C/decade),Southern Canada rate (°C/decade),Rest of Canada rate (°C/decade)
1940,2025,0.30768026972351736,2.2× faster,1.4× faster,1.4× faster,1.3× faster,0.14205275095479414,0.22083536736900872,0.2193122683420462,0.23266057314984395
1950,2025,0.41303156520792444,2.5× faster,1.6× faster,1.5× faster,1.3× faster,0.16484862200116246,0.2570259324213272,0.2799826390854742,0.3097432062878685
1960,2025,0.4704848848549708,2.5× faster,1.6× faster,1.4× faster,1.3× faster,0.1874950696370267,0.28972692497731384,0.32517570999821305,0.3661314736295768
1970,2025,0.46218225940053537,2.2× faster,1.4× faster,1.2× faster,1.1× faster,0.2128004446215388,0.32800534623257993,0.375455574822453,0.430267090657782
1980,2025,0.397365972560501,1.9× faster,1.2× faster,1.2× faster,1.1× slower,0.21340881085106372,0.3343533519136107,0.3429550470459552,0.4193596487741231
1990,2025,0.5027392072154593,2.0× faster,1.3× faster,1.2× faster,1.0× faster,0.24744032825905604,0.3762561489730121,0.42392766556022177,0.5004758137660238
